entity|importance|category|chunk_id|type
interoperability|5|concept|bb894d4a987241c6b7827d4acabac6dc|concept
introduction|3|event|bb894d4a987241c6b7827d4acabac6dc|concept
unique charging port design|4|misc|ebcfb9727a42482d986fa2b0a64fa8ac|concept
usb c|5|object|ebcfb9727a42482d986fa2b0a64fa8ac|concept
mobile phone model|3|object|ebcfb9727a42482d986fa2b0a64fa8ac|concept
phone companies|4|organisation|ebcfb9727a42482d986fa2b0a64fa8ac|concept
mobile charging interoperability|5|event|5799ce249cde44a28db1429ca4c2171f|concept
standard interface|4|concept|5799ce249cde44a28db1429ca4c2171f|concept
thousands of engineers|3|misc|5799ce249cde44a28db1429ca4c2171f|concept
thousands of leaders|3|misc|5799ce249cde44a28db1429ca4c2171f|concept
interoperability|5|concept|7eb8854be27f45e195dea63b72e2a111|concept
health data interoperability (hdi)|4|concept|7eb8854be27f45e195dea63b72e2a111|concept
mobile phone chargers|3|object|7eb8854be27f45e195dea63b72e2a111|concept
health and wellness (hnw)|4|concept|7eb8854be27f45e195dea63b72e2a111|concept
health data interoperability|5|concept|73070e9dc04e4ac7922d1d0048b67ab7|concept
health information technology systems|4|object|73070e9dc04e4ac7922d1d0048b67ab7|concept
patient's consent|3|condition|73070e9dc04e4ac7922d1d0048b67ab7|concept
healthcare providers|4|organisation|73070e9dc04e4ac7922d1d0048b67ab7|concept
hospitals|3|object|73070e9dc04e4ac7922d1d0048b67ab7|concept
other healthcare organisations|4|organisation|73070e9dc04e4ac7922d1d0048b67ab7|concept
oversimplified reconstruction|2|event|cbe8dd638b924f8394985b67838e7023|concept
mobile charger hell|2|misc|cbe8dd638b924f8394985b67838e7023|concept
healthcare service provider|3|organisation|cbe8dd638b924f8394985b67838e7023|concept
technology platform|4|object|cbe8dd638b924f8394985b67838e7023|concept
hospital management system (hms)|3|document|cbe8dd638b924f8394985b67838e7023|concept
electronic health record (ehr)|2|document|cbe8dd638b924f8394985b67838e7023|concept
patient record (phr) system|3|document|cbe8dd638b924f8394985b67838e7023|concept
quest for a change|4|concept|3e17c85278284d38a2df361c47779e3d|concept
quiescence|3|concept|3e17c85278284d38a2df361c47779e3d|concept
interoperability|5|concept|cea903ef8852462d825e97f8f7929111|concept
primary care|3|event|cea903ef8852462d825e97f8f7929111|concept
secondary care|3|event|cea903ef8852462d825e97f8f7929111|concept
tertiary care|3|event|cea903ef8852462d825e97f8f7929111|concept
quaternary care|3|event|cea903ef8852462d825e97f8f7929111|concept
health data interoperability|4|concept|cea903ef8852462d825e97f8f7929111|concept
patient care|4|event|cea903ef8852462d825e97f8f7929111|concept
complete medical history|4|object|cea903ef8852462d825e97f8f7929111|concept
treatment decisions|3|event|cea903ef8852462d825e97f8f7929111|concept
duplicative or unnecessary tests and procedures|2|misc|cea903ef8852462d825e97f8f7929111|concept
redundant tests and procedures|4|event|78e6fecffe0f47b2a87181651b51c042|concept
care coordination|3|concept|78e6fecffe0f47b2a87181651b51c042|concept
medical errors and complications|4|event|78e6fecffe0f47b2a87181651b51c042|concept
