text|source|page|chunk_id
"147
147Mental Health as a 
Pathway to Health 
Equity
 Pratima Murthy, Krishna Prasad Muliyala, and  
Channaveerachari Naveen Kumar
Equity, diversity, and inclusiveness are the basic tenets of distributive 
justice and are essential goals for development. The World Health 
Organization (WHO) envisages that health equity can be achieved when 
everyone attains their full potential for health and well-being. This includes 
mental health. According to WHO’s definition, ‘mental health’ is a state of 
mental well-being that enables people to cope with the stresses of life, 
realise their abilities, learn well and work well, and contribute to their 
community.1 
Mental health is closely linked with many of the United Nations (UN) 
Sustainable Development Goals (SDGs).2 It comprises people’s individual 
and collective abilities to make decisions, build relationships, and shape the 
world, and is more than the mere absence of mental illness. In its broadest 
sense, mental health encompasses promotive and preventive aspects, while 
mental disorders or illnesses (used interchangeably in this article) are more 
focused on treatment and rehabilitative aspects. However, mental health 
and well-being is equally important for persons with mental disorders, as 
much as it is for those without such disorders."|data_input/OrfPathHealth/MentalHealthPathwayToEquity.pdf|0|422ffd0b9f1e43be891bfa4022ff0269
"148Accelerating Global Health: Pathways to Health Equity for the G20
149Integrating Mental Health into General Healthcare
The complex interaction of biological, psychological, and social determinants 
shapes an individual’s mental health. There is evidence that poverty and 
other adverse social circumstances are risk factors for poor mental health, 
and for mental disorders. Biological vulnerability as well as psychosocial 
distress predispose an individual to common mental disorders like 
depression, substance use disorders, and behavioural addictions.3 They can 
also be reasons for relapse for  episodes of severe mental illness (SMI) 
such as schizophrenia or bipolar mood disorder.
The relationship between social adversity, mental distress, mental and 
physical illness is both interactive and complex. The presence of mental 
illness, particularly SMI, can drive people to poverty and worsen mental 
distress for both the individual and their family. Similarly, psychosocial 
adversity is a recognised risk factor in conditions like diabetes and 
tuberculosis and influences health outcomes.4,5 Socioeconomic, political, 
cultural and place-based conditions all determine health outcomes, including 
on mental health. 
Multimorbidity—defined as the co-occurrence of more than one chronic 
condition in an individual—can occur a decade earlier in those who are 
experiencing socioeconomic vulnerabilities.6 When two or more conditions"|data_input/OrfPathHealth/MentalHealthPathwayToEquity.pdf|1|d8ac3a127087488cb1f605559cc9e21a
"condition in an individual—can occur a decade earlier in those who are 
experiencing socioeconomic vulnerabilities.6 When two or more conditions 
cluster together (both contributing and resulting in socioeconomic 
inequalities), medical specialists use the term ‘syndemic’ to describe such 
a situation. Therefore, the contextual determinants of health and disease 
are paramount in the conceptual framework of syndemics. Moreover, the 
two or more chronic conditions can interact and lead to adverse mutual 
outcomes for the conditions. The imperative, therefore, is to shed a 
dichotomous approach to mental and physical health and integrate them 
both in healthcare service delivery.
The challenge is how to efficiently distribute healthcare resources to those 
who most need them. In many regions of the world, while disadvantaged 
populations need greater healthcare, they receive less.7 Some sections 
of society (for example, those with mental illness) may warrant greater 
allocations of resources, as much as equal treatment is required for similar 
needs. Health economists and the World Health Organization (WHO) have"|data_input/OrfPathHealth/MentalHealthPathwayToEquity.pdf|1|3ce1c09aaca9419db0174ae024084f14
"149Mental Health as a Pathway to Health Equityargued that investing in mental health is important from the point of view 
of improving population health and reducing social inequality, promoting 
human rights, and improving economic efficiency.8 The economic implications 
of mental and substance disorders can be enormous: for example, the 
global economic loss due to common mental disorders is an estimated US$ 
1 trillion per year.9 Given the increasing prevalence of mental illness, the 
costs are likely to only further mount. Investment in treatment of mental 
illness can result in large economic productivity gains.10
The Burden of Mental Health, Substance Use Disorders and 
Multimorbidity
Mental and substance-abuse disorders are leading contributors to premature 
morbidity and mortality globally. In India, for example, the National Mental 
Health Survey (NMHS), 2015-16, has reported a 13.6-percent lifetime 
prevalence of any mental/substance-abuse disorder morbidity.11 The overall 
number of Disability-Adjusted-Life-Years (DALYs) for mental disorders has 
increased by more than 50 percent between 1990 and 2019.12 This growth 
pattern is expected to continue, necessitating a proportionate response from 
the health systems. Most of the mental and substance abuse disorders 
are chronic and disabling conditions. The treatment gap for mental and 
substance abuse disorders (defined as proportions of those needing care"|data_input/OrfPathHealth/MentalHealthPathwayToEquity.pdf|2|4b2a3063fa0c49049ee3978e8874a08e
"are chronic and disabling conditions. The treatment gap for mental and 
substance abuse disorders (defined as proportions of those needing care 
but not receiving) remains high (about 75 percent), contributing to the 
high burden at various levels (individual, family and community). A vast 
majority of the population cannot afford out-of-pocket (OOP) spending 
for the treatment of mental and substance abuse disorders and psychiatric 
rehabilitation. 
Such out-of-pocket expenditure, in India, is dominated by medicines.13 In 
more than half of the population, non-medical costs such as expenses 
on travel and accommodation contribute to more than one-third of OOP 
spending. The share of doctors’ fees and diagnostic charges in OOP 
expenditure is high in private healthcare settings.14 Discrimination in the 
coverage by health insurance toward mental illness significantly raises 
the chances of catastrophic spending in such circumstances.  Despite the 
Insurance Regulatory and Development Authority of India (IRDAI) having 
directed Indian insurance companies to cover mental illnesses as per the"|data_input/OrfPathHealth/MentalHealthPathwayToEquity.pdf|2|0e7eb893bc5f496cadc42399e6dcc1ce
"150Accelerating Global Health: Pathways to Health Equity for the G20
151Mental Health Care Act, 2017, there have been many   reported violations of 
the provision of the Act.15 The violations have included rejections of claims 
for mental illness by insurance companies and discriminatory ceilings on 
the sum of reimbursement for mental illness. 
Worldwide, people with SMI have shortened life expectancy by 10-20 
years, which is explained by the high rates of multimorbidity.16 Yet the 
interventions to address the multimorbidity, primarily non-communicable 
diseases (NCDs) and the associated risk factors such as tobacco and alcohol 
use, physical inactivity, and poor diets—are insufficient for this group. 
The existing national programs to address these chronic conditions seem 
oriented vertically with poor horizontal integration across the programmes. 
Homeless persons, women, persons with developmental disorders, and 
elderly with mental illness experience even further inequities among the 
unequal. 
The living conditions of persons in India with SMI chronically and who 
reside in psychiatric hospitals have been highlighted through public interest 
litigations and addressed by the active intervention of the judiciary. The 
National Human Rights Commission (NHRC), with the technical support 
of the National Institute of Mental Health & Neuro Sciences (NIMHANS), 
Bengaluru, has reviewed the rights violations of persons with SMI in these"|data_input/OrfPathHealth/MentalHealthPathwayToEquity.pdf|3|264356480e46446ca4ca7150f6fcc65a
"of the National Institute of Mental Health & Neuro Sciences (NIMHANS), 
Bengaluru, has reviewed the rights violations of persons with SMI in these 
hospitals and monitored the required systemic changes.17,18 
Over the last two decades, there have been consistent efforts toward 
developing a better systemic response in the care of persons with mental 
illness. 
Key Efforts in Improving Mental Healthcare in India
The NMHS, 2015-16, India, reported the current prevalence of any mental 
morbidity to be 10.56 percent.19 Those with low education and lower 
income, and are middle-aged were at the highest risk for mental illness.20 
Only two out of every 10 individuals with mental illness received mental 
healthcare.21 Lack of mental health resources (e.g., shortage of mental health 
professionals), poor mental health literacy, stigma and discrimination,"|data_input/OrfPathHealth/MentalHealthPathwayToEquity.pdf|3|a8abadb5a3854419980fc641aaac297f
"151Mental Health as a Pathway to Health Equitysocial inequality, gender issues and lack of community participation may 
be among the various factors that impede mental health equity in India.  
To be sure, India has made strides toward improving mental healthcare 
(summarised in Box 1). India was one of the first Asian countries to have 
a National Program for Mental Health (NMHP; as early as 1982). The 
District Mental Health Program (DMHP) today covers 700 districts across 
the country. The DMHP is the implementation arm of the NMHP tasked 
to ensure the availability and accessibility of minimum mental healthcare, 
integration of mental health in general healthcare, and to promote 
community participation in mental health development. 
Box 1. Initiatives in India to Ensure Equitable Mental Healthcare
Programmes: 
• Expansion of the National Mental Health Programme – District 
Mental Health Programme (>700 districts) and Taluk Mental Health 
programme (e.g., Karnataka)
• Ayushman Bharat-Pradhan Mantri Jan Arogya Yojna (PM-JAY) – 
Universal Health Coverage, Health and Wellness Centres
• National Tele Mental Health Programme (Tele Mental Health Assistance 
and Networking Across States: Tele-MANAS)
• Generic medicines – Jan Aushadhi Kendras
Policies:
• National Mental Health Policy (2014) 
• National Health Policy (2017)
Legislations:
• Rights of Persons with Disability Act, 2016
• Mental Health Care Act, 2017"|data_input/OrfPathHealth/MentalHealthPathwayToEquity.pdf|4|9566a8be5ebc4470ba12c098589b03d5
"152Accelerating Global Health: Pathways to Health Equity for the G20
153Moreover, the availability of psychotropic medications in primary healthcare 
has also improved. Screening and basic management of mental illness have 
been incorporated into the services offered at Health and Wellness Centres 
(HWC). India has a progressive Mental Health Policy (2014) based on equity, 
justice, integrated and evidence-based care in a rights-based approach.22 
The use of digital technology is being leveraged for training and expanding 
human resources for mental health care in the country through digital 
academies at NIMHANS as well as other institutions. The National Tobacco 
Control Program has employed a mobile-based strategy called m-Cessation 
and tobacco quit-lines to support those who wish to quit tobacco.23,24 The 
Government of India launched the National Tele Mental Health Program 
(Tele Mental Health Assistance and Networking Across States: Tele-MANAS) 
initiative on World Mental Health Day, 2022, to provide 24/7 comprehensive 
tele-mental health services that cater to remote and underserved areas.25 
The Tele-MANAS initiative—a phone-based, counsellor-led service—aims to 
address mental distress, identify mental illnesses and behaviours that need 
specialist mental health referrals, and improve service networking in each 
State/Union Territory. The examples of digital technology-based initiatives 
in India for mental health are summarised in Box 2."|data_input/OrfPathHealth/MentalHealthPathwayToEquity.pdf|5|2b5c18bbd14945b4b6f701b520fd21d9
"State/Union Territory. The examples of digital technology-based initiatives 
in India for mental health are summarised in Box 2.
Box 2. Technological Initiatives in India for Mental Health
◊	Telephone/mobile based:  Quitline, m-cessation (tobacco), Nikshay Sampark  
(TB helpline), Tele-MANAS (National Tele-mental health programme), 
Kiran (mental health rehabilitation), COVID-19 psychosocial helpline, sui -
cide helplines, crisis helplines for elderly, women, children, farmers
◊	E-healthcare: eSanjeevani (National Telemedicine Service of India), 
e-Manas Karnataka (Mental Healthcare Management System)
◊	Training:  NIMHANS digital academy, Telemedicine Centre, NIMHANS, CIP 
Digital Academy, LGBRIMH Digital Academy
◊	Telepsychiatry:  NIMHANS ECHO model, PGIMER “Tele-enabling model”
◊	Potential uses:  chatbots, telerehabilitation, self-help"|data_input/OrfPathHealth/MentalHealthPathwayToEquity.pdf|5|51847ea9e2ef427b9ce15eada66777c0
