node_1|node_2|edge|chunk_id|node_ 1|Edge
pathway to health equity|mental health|achieved when everyone attains their full potential for health and well-being|422ffd0b9f1e43be891bfa4022ff0269||
world health organization (who)|health equity|envisages that health equity can be achieved when everyone attains their full potential for health and well-being|422ffd0b9f1e43be891bfa4022ff0269||
mental health|sustainable development goals (sdgs)|Mental health is closely linked with many of the United Nations (UN) Sustainable Development Goals (SDGs)|422ffd0b9f1e43be891bfa4022ff0269||
mental health|individual and collective abilities|enables people to cope with the stresses of life, realise their abilities, learn well and work well, and contribute to their community|422ffd0b9f1e43be891bfa4022ff0269||
mental health|mental disorders or illnesses| mental health encompasses promotive and preventive aspects, while mental disorders or illnesses are more focused on treatment and rehabilitative aspects|422ffd0b9f1e43be891bfa4022ff0269||
mental health|persons with mental disorders|mental health and well-being is equally important for persons with mental disorders, as much as it is for those without such disorders|422ffd0b9f1e43be891bfa4022ff0269||
pathways to health equity for the g20|mental health|related concept|d8ac3a127087488cb1f605559cc9e21a||
integrating mental health into general healthcare|mental health|related concept|d8ac3a127087488cb1f605559cc9e21a||
biological, psychological, and social determinants|individual’s mental health|shapes|d8ac3a127087488cb1f605559cc9e21a||
poverty and adverse social circumstances|poor mental health, mental disorders|risk factors|d8ac3a127087488cb1f605559cc9e21a||
biological vulnerability, psychosocial distress|common mental disorders, depression, substance use disorders, behavioural addictions|predispose|d8ac3a127087488cb1f605559cc9e21a||
episodes of severe mental illness (smi)|biological vulnerability, psychosocial distress|reasons for relapse|d8ac3a127087488cb1f605559cc9e21a||
mental illness|poverty and worsen mental distress|drives|d8ac3a127087488cb1f605559cc9e21a||
social adversity, mental distress, mental and physical illness|health outcomes|influences|d8ac3a127087488cb1f605559cc9e21a||
mental illness, socioeconomic vulnerabilities|multimorbidity|co-occurrence|d8ac3a127087488cb1f605559cc9e21a||
syndemic|contextual determinants of health and disease|cause|3ce1c09aaca9419db0174ae024084f14||
syndemic|two or more chronic conditions|resulting in|3ce1c09aaca9419db0174ae024084f14||
syndemic|mutual adverse outcomes for the conditions|cause|3ce1c09aaca9419db0174ae024084f14||
dichotomous approach|mental and physical health|challenge to integrate|3ce1c09aaca9419db0174ae024084f14||
healthcare resources distribution|disadvantaged populations|directed towards|3ce1c09aaca9419db0174ae024084f14||
world health organization (who)|health economists|with|3ce1c09aaca9419db0174ae024084f14||
mental health|population health|Improvement in|4b2a3063fa0c49049ee3978e8874a08e||
mental health|social inequality|Reduction of|4b2a3063fa0c49049ee3978e8874a08e||
mental health|human rights|Promotion of|4b2a3063fa0c49049ee3978e8874a08e||
investment in mental health treatment|economic efficiency|Improvement of|4b2a3063fa0c49049ee3978e8874a08e||
mental disorders|global economic loss|Cause of|4b2a3063fa0c49049ee3978e8874a08e||
prevalence of mental illness|costs of mental health|Contribution to|4b2a3063fa0c49049ee3978e8874a08e||
treatment of mental illness|economic productivity gains|Result in|4b2a3063fa0c49049ee3978e8874a08e||
mental health burden|global health situation|Related to|4b2a3063fa0c49049ee3978e8874a08e||
national mental health survey|india|Conducted in|4b2a3063fa0c49049ee3978e8874a08e||
mental/substance-abusedisorder morbidity|national mental health survey|Reported by|4b2a3063fa0c49049ee3978e8874a08e||
dalys for mental disorders|mental health burden|Increased by|4b2a3063fa0c49049ee3978e8874a08e||
chronic and disabling conditions|mental and substance abuse disorders|Defined as|4b2a3063fa0c49049ee3978e8874a08e||
treatment gap for mental and substance abuse disorders|health systems|Affected by|4b2a3063fa0c49049ee3978e8874a08e||
mental health care act|reported violations|relation between mental health care act and reported violations|264356480e46446ca4ca7150f6fcc65a||
people with smi|shortened life expectancy|relationship between people with SMI and shortened life expectancy|264356480e46446ca4ca7150f6fcc65a||
interventions|multimorbidity|relation between interventions and multimorbidity|264356480e46446ca4ca7150f6fcc65a||
existing national programs|poor horizontal integration|relationship between existing national programs and poor horizontal integration|264356480e46446ca4ca7150f6fcc65a||
