entity|importance|category|chunk_id|type
Mental Health|5|concept|83d4d0367bb0467e811782a4ada3bbb9|concept
Health Equity|4|concept|83d4d0367bb0467e811782a4ada3bbb9|concept
World Health Organization (WHO)|3|organisation|83d4d0367bb0467e811782a4ada3bbb9|concept
United Nations (UN)|3|organisation|83d4d0367bb0467e811782a4ada3bbb9|concept
Sustainable Development Goals (SDGs)|4|document|83d4d0367bb0467e811782a4ada3bbb9|concept
Accelerating Global Health|5|event|1d5cc8cbbb074190b824e1fbc0d644aa|concept
Pathways to Health Equity for the G20|5|event|1d5cc8cbbb074190b824e1fbc0d644aa|concept
Integrating Mental Health into General Healthcare|5|event|1d5cc8cbbb074190b824e1fbc0d644aa|concept
Poverty|4|condition|1d5cc8cbbb074190b824e1fbc0d644aa|concept
Mental Health|5|concept|1d5cc8cbbb074190b824e1fbc0d644aa|concept
Biological Determinants|4|condition|1d5cc8cbbb074190b824e1fbc0d644aa|concept
Psychological Determinants|4|concept|1d5cc8cbbb074190b824e1fbc0d644aa|concept
Social Determinants|4|condition|1d5cc8cbbb074190b824e1fbc0d644aa|concept
Depression|3|concept|1d5cc8cbbb074190b824e1fbc0d644aa|concept
Substance Use Disorders|3|concept|1d5cc8cbbb074190b824e1fbc0d644aa|concept
Behavioural Addictions|3|concept|1d5cc8cbbb074190b824e1fbc0d644aa|concept
Severe Mental Illness (SMI)|3|condition|1d5cc8cbbb074190b824e1fbc0d644aa|concept
Schizophrenia|2|concept|1d5cc8cbbb074190b824e1fbc0d644aa|concept
Bipolar Mood Disorder|2|concept|1d5cc8cbbb074190b824e1fbc0d644aa|concept
adversity|4|condition|1f02a81a02054efaacb0ace0c5eadd14|concept
diabetes|3|condition|1f02a81a02054efaacb0ace0c5eadd14|concept
tuberculosis|3|condition|1f02a81a02054efaacb0ace0c5eadd14|concept
socioeconomic vulnerability|4|condition|1f02a81a02054efaacb0ace0c5eadd14|concept
multimorbidity|3|condition|1f02a81a02054efaacb0ace0c5eadd14|concept
syndemic|4|concept|1f02a81a02054efaacb0ace0c5eadd14|concept
mental health|3|condition|1f02a81a02054efaacb0ace0c5eadd14|concept
healthcare service delivery|5|event|33e4526e998e4865bd5b0dde036c2a20|concept
healthcare resources|4|object|33e4526e998e4865bd5b0dde036c2a20|concept
disadvantaged populations|3|organisation|33e4526e998e4865bd5b0dde036c2a20|concept
mental illness|4|concept|33e4526e998e4865bd5b0dde036c2a20|concept
World Health Organization (WHO)|4|organisation|33e4526e998e4865bd5b0dde036c2a20|concept
Mental Health as a Pathway to Health Equity|5|concept|b9359fe26659413da22ea47729356210|concept
Investing in mental health|4|event|b9359fe26659413da22ea47729356210|concept
Improving population health|3|concept|b9359fe26659413da22ea47729356210|concept
Social inequality|3|condition|b9359fe26659413da22ea47729356210|concept
Human rights|2|concept|b9359fe26659413da22ea47729356210|concept
Economic efficiency|3|concept|b9359fe26659413da22ea47729356210|concept
Global economic loss due to mental disorders|2|misc|b9359fe26659413da22ea47729356210|concept
Investment in treatment of mental illness|3|event|b9359fe26659413da22ea47729356210|concept
Economic productivity gains|2|concept|b9359fe26659413da22ea47729356210|concept
The Burden of Mental Health, Substance Use Disorders and Multimorbidity|3|event|b9359fe26659413da22ea47729356210|concept
Mental and substance-abuse disorders|2|misc|b9359fe26659413da22ea47729356210|concept
Premature morbidity and mortality globally|1|condition|b9359fe26659413da22ea47729356210|concept
National Mental Health Survey (NMHS), 2015-16|1|document|b9359fe26659413da22ea47729356210|concept
India|2|place|b9359fe26659413da22ea47729356210|concept
Disability-Adjusted-Life-Years (DALYs)|5|condition|acf42504124f4b29b4f551d0365821b0|concept
mental disorders|4|concept|acf42504124f4b29b4f551d0365821b0|concept
treatment gap for mental and substance abuse disorders|3|condition|acf42504124f4b29b4f551d0365821b0|concept
out-of-pocket (OOP) spending|2|concept|acf42504124f4b29b4f551d0365821b0|concept
medicines|3|object|acf42504124f4b29b4f551d0365821b0|concept
spending|3|event|5b6399f5e510497481764cd1009caa5c|concept
doctors’ fees and diagnostic charges in OOP expenditure|4|object|5b6399f5e510497481764cd1009caa5c|concept
private healthcare settings|3|place|5b6399f5e510497481764cd1009caa5c|concept
discrimination in the coverage by health insurance toward mental illness|4|misc|5b6399f5e510497481764cd1009caa5c|concept
chances of catastrophic spending|3|event|5b6399f5e510497481764cd1009caa5c|concept
Insurance Regulatory and Development Authority of India (IRDAI)|2|organisation|5b6399f5e510497481764cd1009caa5c|concept
mental illnesses|3|misc|5b6399f5e510497481764cd1009caa5c|concept
Accelerating Global Health|5|event|b123ca85f1a04a5294b943d121e5c61b|concept
Pathways to Health Equity for the G20|4|event|b123ca85f1a04a5294b943d121e5c61b|concept
Mental Health Care Act, 2017|3|document|b123ca85f1a04a5294b943d121e5c61b|concept
reported violations|2|event|b123ca85f1a04a5294b943d121e5c61b|concept
rejections of claims for mental illness by insurance companies|3|event|b123ca85f1a04a5294b943d121e5c61b|concept
discriminatory ceilings on the sum of reimbursement for mental illness|2|event|b123ca85f1a04a5294b943d121e5c61b|concept
people with serious mental illness (SMI)|3|concept|b123ca85f1a04a5294b943d121e5c61b|concept
shortened life expectancy|2|concept|b123ca85f1a04a5294b943d121e5c61b|concept
multimorbidity|3|concept|b123ca85f1a04a5294b943d121e5c61b|concept
non-communicable diseases (NCDs)|2|concept|b123ca85f1a04a5294b943d121e5c61b|concept
tobacco and alcohol use|2|concept|b123ca85f1a04a5294b943d121e5c61b|concept
physical inactivity|2|concept|b123ca85f1a04a5294b943d121e5c61b|concept
poor diets|2|concept|b123ca85f1a04a5294b943d121e5c61b|concept
national programs to address chronic conditions|3|event|b123ca85f1a04a5294b943d121e5c61b|concept
chronic conditions|2|concept|b123ca85f1a04a5294b943d121e5c61b|concept
poor horizontal integration across the programmes|3|event|b123ca85f1a04a5294b943d121e5c61b|concept
homeless persons|2|concept|b123ca85f1a04a5294b943d121e5c61b|concept
women|2|concept|b123ca85f1a04a5294b943d121e5c61b|concept
persons with developmental disorders|2|concept|b123ca85f1a04a5294b943d121e5c61b|concept
mental health equity|5|concept|0fd5e7c372a842cc9368e25bf0cb57b4|concept
social inequality|4|concept|0fd5e7c372a842cc9368e25bf0cb57b4|concept
gender issues|4|concept|0fd5e7c372a842cc9368e25bf0cb57b4|concept
community participation|3|concept|0fd5e7c372a842cc9368e25bf0cb57b4|concept
National Program for Mental Health (NMHP)|5|organisation|0fd5e7c372a842cc9368e25bf0cb57b4|concept
District Mental Health Program (DMHP)|4|organisation|0fd5e7c372a842cc9368e25bf0cb57b4|concept
India|5|place|0fd5e7c372a842cc9368e25bf0cb57b4|concept
Asian countries|3|organisation|0fd5e7c372a842cc9368e25bf0cb57b4|concept
National Mental Health Programme – District Mental Health Programme (>700 districts)|4|document|0fd5e7c372a842cc9368e25bf0cb57b4|concept
Ayushman Bharat-Pradhan Mantri Jan Arogya Yojna (PM-JAY)|5|programme|d1159f0aacce4add93913834766d4b45|concept
Universal Health Coverage|4|concept|d1159f0aacce4add93913834766d4b45|concept
Health and Wellness Centres|4|programme|d1159f0aacce4add93913834766d4b45|concept
National Tele Mental Health Programme (Tele MANAS)|3|programme|d1159f0aacce4add93913834766d4b45|concept
Jan Aushadhi Kendras|4|programme|d1159f0aacce4add93913834766d4b45|concept
National Mental Health Policy (2014)|3|policy|d1159f0aacce4add93913834766d4b45|concept
National Health Policy (2017)|3|policy|d1159f0aacce4add93913834766d4b45|concept
Rights of Persons with Disability Act, 2016|4|legislation|d1159f0aacce4add93913834766d4b45|concept
Mental Health Care Act, 2017|3|legislation|d1159f0aacce4add93913834766d4b45|concept
Accelerating Global Health|5|event|0e19e6305c0049768cd3d005956a6c24|concept
Pathways to Health Equity for the G20|5|event|0e19e6305c0049768cd3d005956a6c24|concept
Psychotropic medications|3|object|0e19e6305c0049768cd3d005956a6c24|concept
Mental Health Policy (2014)|4|document|0e19e6305c0049768cd3d005956a6c24|concept
digital academies at NIMHANS|3|organization|0e19e6305c0049768cd3d005956a6c24|concept
m-Cessation|2|object|0e19e6305c0049768cd3d005956a6c24|concept
tobacco quit-lines|2|organization|0e19e6305c0049768cd3d005956a6c24|concept
National Tele Mental Health Program (Tele Mental Health Assistance and Networking Across States: Tele-MANAS)|4|event|0e19e6305c0049768cd3d005956a6c24|concept
Tele-MANAS initiative|5|organisation|3fc32cb84c4d4da6b29abc6c19d6eb76|concept
World Mental Health Day|3|event|3fc32cb84c4d4da6b29abc6c19d6eb76|concept
tele-mental health services|4|service|3fc32cb84c4d4da6b29abc6c19d6eb76|concept
remote and underserved areas|3|location|3fc32cb84c4d4da6b29abc6c19d6eb76|concept
