node_1|node_2|edge|chunk_id
india's health indicators|peer nations|continue to lag behind|ae0fd26675d645e787964255667e90f4
population|india||ae0fd26675d645e787964255667e90f4
health workers density|doctors and nurses/midwives|for 10,00 persons|ae0fd26675d645e787964255667e90f4
who threshold|44.5 doctors, nurses, and midwives per 10,00 population||ae0fd26675d645e787964255667e90f4
skilled health workforce|india|reinforces the central role human resources have in healthcare|ae0fd26675d645e787964255667e90f4
skewed inter-state|urban-rural|and public-private sector divide|ae0fd26675d645e787964255667e90f4
sdgs|india's progress toward achieving universal health coverage||ae0fd26675d645e787964255667e90f4
health budget|federal|offers an unprecedented opportunity to do this|ae0fd26675d645e787964255667e90f4
private health sector systems|public|growing divide between the|ae0fd26675d645e787964255667e90f4
medical tourism industry|india||ae0fd26675d645e787964255667e90f4
national medical council|||ae0fd26675d645e787964255667e90f4
health policy|india|The presented study aims to analyze the implementation of India's Health Sector Reform (HSR) in terms of its impact on human resource, specifically auxiliary nurse midwives (ANMs), under India's Public Health Standards (IPHS). The study is a part of the larger project 'Strengthening health systems in Tamil Nadu through implementation research' (SHaTTh-IR), which aims to build evidence for health system strengthening and policy-making in the Indian state of Tamil Nadu. Health Policy in India has undergone major reforms over the last few decades, aiming to improve the efficiency and effectiveness of its health systems. The National Rural Health Mission (NRHM) was launched in 2005 as a part of the HSR process with the aim to provide accessible and affordable healthcare services to the rural population. One of the components of NRHM is IPHS, which aims to improve healthcare service delivery and quality through accreditation and certification processes. ANMs are key functionaries under this scheme, responsible for delivering basic maternal and child health services in rural areas. This study will examine the extent to which IPHS has led to improvements in human resource management, particularly in terms of ANMs, and contribute to policy-making and implementation in this area.|921a13449c644c188817e980ae67485c
health policy|health sector reform|The presented study aims to analyze the implementation of India's Health Sector Reform (HSR) in terms of its impact on human resource, specifically auxiliary nurse midwives (ANMs), under India's Public Health Standards (IPHS). The HSR process in India has undergone major reforms over the last few decades, with the aim to improve the efficiency and effectiveness of its health systems. One of the components of this process is the National Rural Health Mission (NRHM), launched in 2005, which aims to provide accessible and affordable healthcare services to the rural population. This study will examine the extent to which HSR has led to improvements in human resource management, particularly in terms of ANMs, and contribute to policy-making and implementation in this area.|921a13449c644c188817e980ae67485c
health policy|public health|The presented study aims to analyze the implementation of India's Public Health Standards (IPHS) in terms of its impact on human resource, specifically auxiliary nurse midwives (ANMs), as a part of India's Health Policy. Public health is concerned with promoting and protecting the health of populations through preventive and protective measures. The IPHS scheme under this policy aims to improve healthcare service delivery and quality through accreditation and certification processes, with ANMs playing a key role in its implementation.|921a13449c644c188817e980ae67485c
epidemiology/public health|health policy|The presented study aims to analyze the implementation of India's Health Policy, specifically India's Public Health Standards (IPHS), in terms of its impact on human resource, particularly auxiliary nurse midwives (ANMs). Epidemiology is a field of public health that focuses on studying the distribution and determinants of diseases and other health-related conditions in populations.|921a13449c644c188817e980ae67485c
epidemiology/public health|india|The study aims to analyze the implementation of India's Public Health Standards (IPHS) in terms of its impact on human resource, specifically auxiliary nurse midwives (ANMs), as a part of India's health policy. The presented study is a part of the larger project 'Strengthening health systems in Tamil Nadu through implementation research' (SHaTTh-IR) and aims to contribute to evidence-based policy-making for health system strengthening and public health initiatives in India.|921a13449c644c188817e980ae67485c
health policy|india|The presented study aims to analyze the implementation of India's Health Policy, specifically India's Public Health Standards (IPHS), in terms of its impact on human resource, particularly auxiliary nurse midwives (ANMs). This study is a part of the larger project 'Strengthening health systems in Tamil Nadu through implementation research' (SHaTTh-IR) and focuses on India as a case study.|921a13449c644c188817e980ae67485c
india|health sector reform|The presented study is a part of the larger project 'Strengthening health systems in Tamil Nadu through implementation research' (SHaTTh-IR) and focuses on India's Health Sector Reform (HSR) process. The National Rural Health Mission (NRHM), launched in 2005, is a key component of this reform process, with the aim to provide accessible and affordable healthcare services to the rural population.|921a13449c644c188817e980ae67485c
india|public health|The presented study is a part of the larger project 'Strengthening health systems in Tamil Nadu through implementation research' (SHaTTh-IR) and focuses on India as a case study for public health initiatives.|921a13449c644c188817e980ae67485c
