text|source|page|chunk_id
"82Accelerating Global Health: Pathways to Health Equity for the G20
83Building a Resilient 
Digital Health 
Ecosystem in India 
Lav Agarwal
Technology now permeates every facet of human existence. From 
communication and transportation to healthcare and entertainment, 
technology has redefined how we live, work, and interact. Its omnipresence 
is reshaping societal norms, revolutionising various sectors, and propelling 
us into the future.
Through improvements in diagnostics, treatment, and patient care, 
technological advancements have had a profound impact on healthcare. 
Medical devices, telemedicine, electronic health records, and artificial 
intelligence (AI)-driven diagnostics have transformed healthcare delivery by 
making it more precise, efficient, and accessible. Wearable devices and health 
apps have empowered individuals to monitor and manage their well-being 
proactively. Technology has also played a crucial role in advancing medical"|data/MedicalDocuments/India/BuildingResilientDigitalHealthIndia.pdf|0|13476c1867c9495c84d01303b9f5222a
"research, discovering new treatments, and improving overall healthcare 
outcomes. In response to the COVID-19 pandemic, the world witnessed the 
exponential growth of digital health."|data/MedicalDocuments/India/BuildingResilientDigitalHealthIndia.pdf|0|86113e13490f4002a68f873173662f9a
"83Building a Resilient Digital Health Ecosystem in India Digital Health Landscape in India
Given India’s massive population, providing equitable access to healthcare 
services to all is an important agenda. By harnessing the power of 
technology, digital health can effectively address these challenges and 
ensure that healthcare services are accessible even in the remote regions. 
Patients can use digital platforms for convenient access to care. Digital 
platforms therefore bridge gaps and improve healthcare delivery across the 
nation.
In line with the ‘Digital India’ initiative and the vision to create 
interoperable and standardised electronic health records across the country, 
the Indian government  notified the Electronic Health Record1 standards in 
2016. The National Health Policy2 (2017) envisages the creation of a digital 
health technology ecosystem  that serves the needs of all stakeholders and 
improves efficiency, transparency, and citizens’ experiences across public"|data/MedicalDocuments/India/BuildingResilientDigitalHealthIndia.pdf|1|b179a090fb084d6ea17fee9439a110d1
"and private healthcare.
Over the recent years, India has made progress in digital healthcare 
delivery, as demonstrated in national health programmes such as the 
Hospital Management Information System, Online Registration System, the 
national tuberculosis elimination (Ni-kshay) programme, Mother and Child 
Tracking System, Mera Aspataal  (My Hospital, a patient feedback system), the 
Health Management Information System, the Integrated Health Information 
Platform, and Non-Communicable Diseases screening application—which 
have benefitted patients through the timely delivery of services and  by 
making government healthcare more affordable and accessible.3
The need for a future-ready digital health system has become even more 
urgent with the announcement of the Ayushman Bharat Pradhan Mantri Jan 
Arogya Yojana (AB-PMJAY)4 in 2018, India’s flagship programme that would 
herald an infrastructural transformation of the nation’s health system. This 
mission envisions the following:"|data/MedicalDocuments/India/BuildingResilientDigitalHealthIndia.pdf|1|bf384699b63a44e9a6429a506dfb961e
"mission envisions the following: 
I. Operationalising 1.5 lakh health and wellness centres that offer preventive 
and primary care, including telemedicine consultation services; and"|data/MedicalDocuments/India/BuildingResilientDigitalHealthIndia.pdf|1|2807f6f0a7dd43c0aff29de2279ae157
"84Accelerating Global Health: Pathways to Health Equity for the G20
85II. Providing financial protection of up to INR 500,000 per family annually 
for secondary and tertiary care hospitalisation to the over 120 million 
crore poor and vulnerable families that comprise the bottom 40 percent 
of the Indian population.
These initiatives aim to scale up a wellness-oriented approach instead 
of an illness-focused one—a key step towards achieving universal health 
coverage (UHC) through patient data portability across primary, secondary, 
and tertiary levels. This essentially translates into an environment where 
all people can obtain health services anywhere in the country without 
suffering financial hardship or excessive indirect costs. 
Achieving such scale requires us to rethink the core technology backbone 
of our system and leverage cutting-edge digital solutions to tackle the 
challenge. However, it is also felt that all these efforts need to converge into"|data/MedicalDocuments/India/BuildingResilientDigitalHealthIndia.pdf|2|d75ac3dcfd744c7b963a9b4c90fbd9d9
"a single framework to achieve interoperability of data, which would benefit 
both policymakers for decision-making and patients with effective services 
at the time of need. In response, the government developed the National 
Digital Health Blueprint as a framework for the efficient implementation of 
digital health treatments.
The Ayushman Bharat Digital Mission5
To implement the principles of the blueprint, the National Digital Health 
Mission, now known as the Ayushman Bharat Digital Mission (ABDM), was 
launched in six union territories in August 2020.  It was proposed to be 
carried out via six key components—i.e, the digital health ID card, Digi-
Doctor, Health Facility Registry, Personal Health Records, e-pharmacy, and 
telemedicine. India launched the nationwide implementation the ABDM in 
September 2021 . The ABDM intends to create the framework needed to 
enable an integrated digital health infrastructure in India. Additionally, it"|data/MedicalDocuments/India/BuildingResilientDigitalHealthIndia.pdf|2|31edc3e999ac4bc8a24b5aed3c81d49d
"will bridge the existing gap amongst different stakeholders of the healthcare 
ecosystem through digital highways.
Under the ABDM, every citizen will be provided a 14-digit Ayushman 
Bharat Account (ABHA) number, which is a unique health identifier. With 
the patient’s informed consent, the ABHAs will be used to identify and"|data/MedicalDocuments/India/BuildingResilientDigitalHealthIndia.pdf|2|4077d77275bc45b98606bbe4e77387d1
"85Building a Resilient Digital Health Ecosystem in India authenticate people’s health records across various systems and stakeholders. 
As of July  2023, over 435 million ABHAa numbers have been created, and 
214,396 health facilities and 207,274 doctors have been registered under 
the ABDM ecosystem.
ABDM has accelerated the participation of various stakeholders of the 
healthcare ecosystem and ensured deployment of patient-centric policies—
resulting in cashless care with improved access to ensure protection 
for the poor. Given its federal and complex healthcare structure, India 
demands agility, flexibility and evidence-based smart policymaking for 
implementation of healthcare initiatives, driving all stakeholders towards 
health-seeking behaviours with renewed energy. 
Digital Health in COVID-19 Management
The COVID-19 pandemic has challenged health systems across the globe. 
The India government not only focused on the management of the pandemic"|data/MedicalDocuments/India/BuildingResilientDigitalHealthIndia.pdf|3|563b45ecd7d447c089670da47fd6f9ec
"through various activities but also formulated innovative solutions to ensure 
the continuity of health services across the spectrum. It has followed a 
‘whole of government, whole of society’ approach to battle the pandemic 
by engaging subnational and local governments, civil society organisations, 
the private sector, and local communities in mitigation efforts.
Amid the pandemic, India recognised the need to ease access to digital 
consultations, and issued the Telemedicine Practice Guidelines in March 
2020. India also launched eSanjeevaniOPD,6 a first of its kind and the 
world’s largest national telemedicine service to facilitate online health 
facilities to patients in the confines of their home at no cost to ensure 
continuum of care. The eSanjeevani initiative has been instrumental in 
bridging the digital divide in India, particularly in rural areas where access 
to healthcare is often limited. This initiative has completed 142 million"|data/MedicalDocuments/India/BuildingResilientDigitalHealthIndia.pdf|3|8022fb132d55422fa241f9aebc537158
